Nome;CNPJ;Razao;Rede;Cluster;Estado;Cidade;Bairro;Endereco;Numero;Complemento;Pontos
Allied Advanced Technologies S.A - Bauru Shopping - KIOSQUE;2,02E+13;Bauru Shopping;Allied Advanced Technologies S.A;B;SP;Bauru;Vila Cidade Universitaria ;"R Henrique Savi, 55 -Quadra 15- Andar: 1; Quiosq: Qun17; Quadra: 15; 
 

 

"; -; -; -
Allied Advanced Technologies S.A - Botafogo Praia Shop - LOJA;2,02E+13;Botafogo Praia Shop;Allied Advanced Technologies S.A;A;RJ;Rio de Janeiro;Botafogo ;Praia De Botafogo, Nº 400 LJ 147148 - Cep: 22250-040  - Botafogo - Rio De Janeiro - Rj; -; -; -
Allied Advanced Technologies S.A - Boulevard Shopping Nações Bauru - LOJA;2,02E+13;Boulevard Shopping Nações Bauru;Allied Advanced Technologies S.A;C;SP;Bauru;Chacara Das Folres ;Rua General Marcondes Salgado, 11-39 Lojas 162 E 163 Bauru São Paulo Cep 17013-113; -; -; -
Allied Advanced Technologies S.A - Bourbon Shopping - LOJA;2,02E+13;Bourbon Shopping;Allied Advanced Technologies S.A;A;SP;São Paulo;Perdizes ;Rua Turiassú, 2100 - Loja Suc T003 - Barra Funda - São Paulo (Sp) - Cep: 05005-900; -; -; -
Allied Advanced Technologies S.A - Caxias Shopping - KIOSQUE;2,02E+13;Caxias Shopping;Allied Advanced Technologies S.A;C;RJ;Duque de Caxias;Parque Duque ;Rod. Washington Luis, 2.895, Quiosque Q11, Parque Duque - Duque De Caxias - Rj; -; -; -
Allied Advanced Technologies S.A - Centervale Shopping - LOJA;2,02E+13;Centervale Shopping;Allied Advanced Technologies S.A;B;SP;São José dos Campos;Jardim Oswaldo Cruz ;Av Deputado Benedito Matarazzo, 9403, Lojas Uso Comercial N. 164, Jardim Oswaldo Cruz, Sao Jose Dos Campos - Sp; -; -; -
Allied Advanced Technologies S.A - ETNA Marginal Tiete - ETNA;2,02E+13;ETNA Marginal Tiete;Allied Advanced Technologies S.A;C;SP;São Paulo;Tatuape;Av. Condessa Elizabeth de Robiano, 2000 - Tatuape - Piso Terreo (entrada principal); -; -; -
Allied Advanced Technologies S.A - ETNA Marginal Tiete - KIOSQUE;2,02E+13;ETNA Marginal Tiete;Allied Advanced Technologies S.A;A;SP;Marília;Tatuape;Av. Condessa Elizabeth de Robiano, 2000 - Tatuape - Piso Terreo (entrada principal); -; -; -
Allied Advanced Technologies S.A - ETNA Marginal Tiete - KIOSQUE;2,02E+13;ETNA Marginal Tiete;Allied Advanced Technologies S.A;C;SP;São Paulo;Tatuape;Av. Condessa Elizabeth de Robiano, 2000 - Tatuape - Piso Terreo (entrada principal); -; -; -
Allied Advanced Technologies S.A - Golden Square Shopping - KIOSQUE;2,02E+13;Golden Square Shopping;Allied Advanced Technologies S.A;C;SP;São Paulo;Jardim do mar;Av. Kennedy, 700; -; -; -
